price,transaction,title,city,region,description,surface,bathrooms,rooms
275000.0,sale,S2 neuf enreg 1%,tunis,aouina,"nb: les photos sont approximative. Ain zaghouen cite les palmeraies a vendre un appartement s+2, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine équipée avec des éléments de rangements,plaque haut four , elle est complétée par un séchoir et deux chambres à coucher et une salle de bain l'appartement est équipé avec chauffage central installé dans toutes les pièces. pour plus d information contacter: Afficher le numéro #L aouina#jardain de carthage#la marsa #hay l wahat #lac 1 #lac2 la soukra",94,1.0,2
320000.0,sale,S3 a l aouina a cote echemi,tunis,aouina,"NB:agence imobiliere l aouina cite les palmeraies a vendre un appartement s+3, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine est équipée avec des éléments de rangements, elle est complétée par un séchoir et trois chambres à coucher et une salle de bain l'appartement est équipé avec chauffage central installé dans toutes les pièces.et deux climatiseur pour plus d information contacter : Afficher le numéro L aouina /la soukra /chotrana /la marsa /ain zahgouen/sidi daoued/ ",140,1.0,3
169000.0,sale,S1 neuf direct promoteur ,tunis,aouina,"Nb:Images approximatives et réelles. ain zaghouin cite les palmeraies a vendre un appartement s1 jamais habité en cours de construction, sera achevé en octobre 2024, dans une résidence bien sécurisée avec ascenseur. il se compose d’un salon lumineux, kitchenette est équipée avec des éléments de rangements, elle est complétée par un séchoir. une chambre à coucher et une salle de douche. l'appartement est équipé avec chauffage central installé dans toutes les pièces. pour plus d information contacter: Afficher le numéro L aouina /ain zaghouen_soukra-la marsa-lac 1 -lac2 -jardin de carthage",45,1.0,1
480000.0,sale,S2 luxe au jardin de carthage,tunis,jardins de carthage,"au jardin de carthage avendre un appartement s+2, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine équipée avec des éléments de rangements, elle est complétée par un séchoir et deux chambres à coucher et une salle de eau et salle de bain l'appartement est équipé avec chauffage central et climatisation installé dans toutes les pièces. pour plus d information contacter : Afficher le numéro ",105,2.0,2
345000.0,sale,S2 neuf enreg 1%,tunis,ain zaghouan," nb: les photos sont approximative. Ain zaghouen cite les palmeraies a vendre un appartement s+2, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine équipée avec des éléments de rangements,plaque haut four , elle est complétée par un séchoir et deux chambres à coucher et une salle de bain l'appartement est équipé avec chauffage central installé dans toutes les pièces. P.parking sous sol pour plus d information contacter : Afficher le numéro",118,1.0,2
365000.0,sale,"A vendre un superbe S+3, entièrement rénové a l'aouina cité wahat avec place parking sous-sol",tunis,aouina,"A vendre un superbe S+3, entièrement rénové, de 150m2. Cet appartement est situé au 7ème étage d'une résidence R+7, sise à l'Aouina cité les palmerais et desservi par un double assenseur. Il est composé d'un vaste salon donnant sur un balcon bien aménagé, une cuisine bien agencée et complétée par un séchoir, une salle d'eau d'invités ainsi que trois chambres à coucher dont une suite parentale. Une place de parking est disponible au sous-sol. Titre individuel. Pour plus d'information veuillez contacter ce numéro : Afficher le numéro / Afficher le numéro/ Afficher le numéro",150,2.0,3
169000.0,sale,a vendre un appartement s1 direct promoteur a l'aouina cité wahat ,tunis,aouina,a vendre un appartement s1 direct promoteur a l'aouina cité wahat prix : 169md pour plus d'info contacter :  Afficher le numéro/ Afficher le numéro/ Afficher le numéro,48,1.0,1
175000.0,sale,S+2 en vente ,tunis,ain zaghouan,"Cet appartement occupe le septième étage et se situe dans une résidence munie d’un double ascenseur, proche de toutes commodités. La pièce de vie bénéficie d'une luminosité grâce à son ouverture sur un balcon. Il dispose d'une cuisine indépendante et aménagée. Il comprend également une salle de bain. Une chambre à coucher avec dressing est également présente. Le chauffage central et la climatisation en système split sont disponibles.",60,1.0,1
285000.0,sale,Bonne opportunité pour investir,tunis,lafayette,En exclusivité une bonne opportunité : on met pour la vente un appartement S+4 de 154 mètres carrés de superficie sis au 4éme étage avec ascenseur dans une résidence située dans un emplacement stratégique au cœur du centre ville très convenable pour investissement pour société ou autres . Prix :285000 MD discutable pour les sérieux Papiers en règle titre individuel disponible. Plus d'infos:  Afficher le numéro / Afficher le numéro/ Afficher le numéro,154,1.0,5
280000.0,sale,S+2 en vente ,tunis,ain zaghouan,"Cet appartement est situé dans une résidence calme et sécurisée munie d’un double ascenseur. La partie jour dispose d'un salon jouissant d'une luminosité grâce à son ouverture à un balcon. Une cuisine aménagée et équipée avec une plaque de cuisson, une hotte aspirante et d’un four électrique elle donne un accès à un séchoir. Une salle d'eau pour les invités. La partie nuit est composé et deux chambres à coucher avec dressing et elles se partagent une salle de bain commune. Un chauffage central, une climatisation en split system et une place de parking sous sol sont disponibles.",110,1.0,2
