surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
90.0,Ariana,2.0,2.0,1,0,0,0,0,0,0,175000.0
75.0,Cite Ennkhilet,2.0,1.0,0,0,0,0,1,1,0,195000.0
115.0,El Menzah 7,4.0,2.0,1,0,0,1,1,1,1,290000.0
100.0,Cite Oplympique,3.0,1.0,0,0,0,0,0,0,0,250000.0
120.0,Cite Ennasr 2,2.0,2.0,0,0,0,0,1,1,1,270000.0
105.0,Cite Oplympique,3.0,2.0,0,0,0,0,0,0,0,250000.0
120.0,Cite Ennasr 2,3.0,2.0,1,0,0,0,1,1,1,310000.0
116.0,Cite Ennasr 2,2.0,1.0,1,0,0,0,1,1,1,370000.0
100.0,El Menzah 4,3.0,1.0,0,0,0,0,0,1,1,250000.0
160.0,Tunis Belvedere,3.0,2.0,0,0,0,0,0,0,0,330000.0
74.0,El Menzah 7,2.0,2.0,1,0,0,0,0,1,0,185000.0
96.0,Cite Ennasr 1,2.0,1.0,0,0,0,0,0,1,0,220000.0
82.0,Bab Bhar,2.0,2.0,0,0,0,0,1,1,1,220000.0
85.0,Cite El Ghazala 1,2.0,1.0,1,0,0,0,1,1,1,255000.0
138.0,Cite El Ghazala 1,3.0,1.0,1,0,0,0,1,1,1,330000.0
59.0,Riadh Landlous,1.0,1.0,1,0,0,0,1,1,1,195000.0
50.0,Cite Ennkhilet,1.0,1.0,1,0,0,0,1,1,1,113000.0
106.0,Cite Ennasr 2,3.0,2.0,1,0,0,0,1,1,0,345000.0
118.0,Cite Oplympique,3.0,2.0,0,0,0,0,0,1,0,245000.0
140.0,El Menzah 9,4.0,1.0,1,0,0,0,0,1,0,320000.0
109.0,El Mourouj 2,3.0,1.0,1,0,0,0,0,1,0,110000.0
139.0,Ain Zaghouan,3.0,3.0,1,0,0,0,1,1,0,585000.0
120.0,Cite Ennasr 2,3.0,1.0,0,0,0,0,0,1,0,340000.0
110.0,Cite Oplympique,3.0,1.0,0,0,0,0,0,1,0,290000.0
80.0,Cite El Khadra,2.0,1.0,0,0,0,0,0,0,0,150000.0
100.0,El Menzah 9,2.0,1.0,0,0,0,0,0,1,0,260000.0
95.0,El Menzah 7,2.0,2.0,1,0,0,0,0,0,0,245000.0
75.0,El Manar 2,2.0,1.0,0,0,0,0,0,1,0,240000.0
70.0,Cite El Khadra,2.0,1.0,0,0,0,1,0,1,0,150000.0
100.0,Cite Ennouzha,4.0,1.0,0,0,0,0,0,1,0,150000.0
145.0,Cite Ennasr 1,3.0,2.0,1,0,0,0,0,1,0,500000.0
106.0,Cite El Ghazala 1,2.0,1.0,1,0,0,0,1,1,1,240000.0
150.0,El Manar 2,3.0,1.0,1,0,0,0,1,1,0,235000.0
98.0,Sidi El Bechir,2.0,1.0,0,0,0,0,0,0,1,160000.0
90.0,El Manar 1,3.0,2.0,1,0,1,0,1,1,0,245000.0
115.0,La Mannouba,3.0,1.0,0,0,0,0,0,0,0,165000.0
