category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,1.0,1.0,45.0,À Vendre,120000.0,Ariana,Ennasr,5.079181246047625
Appartements,3.0,1.0,140.0,À Vendre,275000.0,Ariana,Jardins D'el Menzah,5.439332693830263
Appartements,1.0,1.0,60.0,À Vendre,155000.0,Ariana,Ennasr,5.190331698170292
Appartements,3.0,1.0,117.0,À Vendre,270000.0,Ariana,La Soukra,5.431363764158987
Appartements,2.0,1.0,80.0,À Vendre,195000.0,Ariana,Mnihla,5.290034611362518
Appartements,2.0,1.0,128.0,À Vendre,365000.0,Ariana,La Soukra,5.562292864456475
Appartements,1.0,1.0,60.0,À Vendre,170000.0,Ariana,Chotrana,5.230448921378274
Appartements,3.0,1.0,140.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Appartements,2.0,1.0,80.0,À Vendre,119000.0,Ariana,Borj Louzir,5.075546961392531
Appartements,1.0,1.0,60.0,À Vendre,100000.0,Ariana,La Soukra,5.0
Appartements,4.0,2.0,200.0,À Vendre,420000.0,Ariana,Jardins D'el Menzah,5.623249290397901
Appartements,3.0,2.0,138.0,À Vendre,340000.0,Ariana,Jardins D'el Menzah,5.531478917042255
Appartements,4.0,1.0,121.0,À Vendre,140000.0,Ariana,Ettadhamen,5.146128035678238
Appartements,4.0,3.0,260.0,À Vendre,840000.0,Ariana,La Soukra,5.924279286061882
Appartements,3.0,1.0,100.0,À Vendre,300000.0,Ariana,Ariana Ville,5.477121254719663
Appartements,2.0,1.0,74.0,À Vendre,180000.0,Ariana,Jardins D'el Menzah,5.2552725051033065
Appartements,3.0,1.0,75.0,À Vendre,110000.0,Ariana,Borj Louzir,5.041392685158225
Appartements,4.0,1.0,165.0,À Vendre,310000.0,Ariana,Ariana Ville,5.491361693834273
Appartements,1.0,1.0,68.0,À Vendre,195000.0,Ariana,Autres villes,5.290034611362518
Appartements,3.0,2.0,140.0,À Vendre,275000.0,Ariana,Ennasr,5.439332693830263
Appartements,2.0,1.0,80.0,À Vendre,173000.0,Ariana,Ennasr,5.238046103128795
Appartements,3.0,2.0,149.0,À Vendre,275000.0,Ariana,Autres villes,5.439332693830263
Appartements,3.0,1.0,100.0,À Vendre,265000.0,Ariana,Ariana Ville,5.423245873936808
Appartements,2.0,1.0,120.0,À Vendre,270000.0,Ariana,Ennasr,5.431363764158987
Appartements,3.0,1.0,152.0,À Vendre,260000.0,Ariana,Ariana,5.414973347970818
Appartements,1.0,1.0,67.0,À Vendre,160000.0,Ariana,Ghazela,5.204119982655925
Appartements,3.0,1.0,74.0,À Vendre,180000.0,Ariana,Jardins D'el Menzah,5.2552725051033065
Appartements,3.0,1.0,135.0,À Vendre,345000.0,Ariana,Ennasr,5.537819095073274
Appartements,2.0,2.0,125.0,À Vendre,312000.0,Ariana,La Soukra,5.494154594018442
Appartements,3.0,1.0,96.0,À Vendre,165000.0,Ariana,La Soukra,5.217483944213907
Appartements,2.0,1.0,91.0,À Vendre,185000.0,Ariana,Ariana,5.267171728403014
Appartements,1.0,1.0,63.0,À Vendre,175000.0,Ariana,La Soukra,5.243038048686294
Appartements,2.0,1.0,100.0,À Vendre,250000.0,Ariana,Ennasr,5.3979400086720375
Appartements,2.0,1.0,133.0,À Vendre,356000.0,Ariana,Ennasr,5.551449997972875
Appartements,2.0,1.0,81.0,À Vendre,260000.0,Ariana,Ennasr,5.414973347970818
Appartements,2.0,1.0,85.0,À Vendre,150000.0,Ariana,Ariana Ville,5.176091259055681
Appartements,3.0,1.0,112.0,À Vendre,185000.0,Ariana,Borj Louzir,5.267171728403014
Appartements,2.0,1.0,50.0,À Vendre,68000.0,Ariana,Borj Louzir,4.832508912706237
Appartements,3.0,1.0,100.0,À Vendre,270000.0,Ariana,La Soukra,5.431363764158987
Appartements,3.0,1.0,80.0,À Vendre,95000.0,Ariana,Autres villes,4.977723605288848
Appartements,3.0,1.0,250.0,À Vendre,950000.0,Ariana,La Soukra,5.977723605288848
Appartements,4.0,2.0,186.0,À Vendre,380000.0,Ariana,Ennasr,5.57978359661681
Appartements,2.0,1.0,70.0,À Vendre,170000.0,Ariana,La Soukra,5.230448921378274
Appartements,2.0,2.0,124.0,À Vendre,229400.0,Ariana,Ghazela,5.360593413565248
Appartements,2.0,1.0,100.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Appartements,3.0,2.0,160.0,À Vendre,270000.0,Ariana,La Soukra,5.431363764158987
Appartements,2.0,1.0,128.0,À Vendre,360000.0,Ariana,La Soukra,5.556302500767287
Appartements,2.0,1.0,131.0,À Vendre,181000.0,Ariana,La Soukra,5.2576785748691846
