category,room_count,bathroom_count,size,type,price,city,region
Appartements,2.0,1.0,105.0,À Vendre,199000.0,2,32
Appartements,2.0,1.0,70.0,À Vendre,205000.0,2,31
Appartements,1.0,1.0,40.0,À Vendre,124000.0,2,31
Appartements,2.0,2.0,112.0,À Vendre,235000.0,2,16
Appartements,3.0,2.0,146.0,À Vendre,320000.0,2,83
Appartements,3.0,1.0,120.0,À Vendre,120000.0,2,83
Appartements,3.0,2.0,156.0,À Vendre,350000.0,2,16
Appartements,2.0,1.0,129.0,À Vendre,245000.0,2,31
Appartements,3.0,2.0,120.0,À Vendre,330000.0,2,31
Appartements,3.0,1.0,127.0,À Vendre,190000.0,3,62
Appartements,4.0,1.0,117.0,À Vendre,121000.0,3,70
Appartements,2.0,1.0,55.0,À Vendre,95000.0,3,64
Appartements,2.0,1.0,109.0,À Vendre,200000.0,3,62
Appartements,4.0,1.0,103.0,À Vendre,100000.0,3,76
Appartements,3.0,1.0,97.0,À Vendre,120000.0,3,69
Appartements,3.0,1.0,110.0,À Vendre,153000.0,3,76
Appartements,4.0,3.0,210.0,À Vendre,385000.0,3,41
Appartements,2.0,1.0,64.0,À Vendre,85000.0,3,76
Appartements,3.0,1.0,85.0,À Vendre,95000.0,3,76
Appartements,3.0,1.0,106.0,À Vendre,170000.0,3,76
Appartements,4.0,1.0,90.0,À Vendre,130000.0,3,76
Appartements,2.0,1.0,110.0,À Vendre,165000.0,3,49
Appartements,4.0,1.0,102.0,À Vendre,180000.0,3,76
Appartements,3.0,1.0,85.0,À Vendre,115000.0,3,59
Appartements,4.0,2.0,125.0,À Vendre,130000.0,3,49
Appartements,2.0,1.0,65.0,À Vendre,75000.0,3,59
Appartements,2.0,1.0,75.0,À Vendre,105000.0,3,49
Appartements,3.0,1.0,110.0,À Vendre,123000.0,3,76
Appartements,3.0,2.0,153.0,À Vendre,200000.0,3,62
Appartements,2.0,1.0,96.0,À Vendre,188000.0,3,59
Appartements,2.0,1.0,159.0,À Vendre,220000.0,3,59
Appartements,4.0,2.0,110.0,À Vendre,130000.0,3,76
Appartements,3.0,1.0,75.0,À Vendre,65000.0,3,74
Appartements,3.0,2.0,110.0,À Vendre,110000.0,3,76
Appartements,4.0,2.0,160.0,À Vendre,350000.0,3,41
Appartements,2.0,1.0,104.0,À Vendre,155000.0,3,64
Appartements,2.0,1.0,76.0,À Vendre,120000.0,3,58
Appartements,4.0,2.0,140.0,À Vendre,170000.0,3,76
Appartements,2.0,1.0,80.0,À Vendre,142500.0,3,49
Appartements,4.0,1.0,94.0,À Vendre,140000.0,3,76
Appartements,2.0,1.0,138.0,À Vendre,250000.0,3,49
Appartements,3.0,1.0,105.0,À Vendre,350000.0,3,69
Appartements,2.0,1.0,144.0,À Vendre,180000.0,3,69
Appartements,4.0,1.0,140.0,À Vendre,165000.0,3,41
Appartements,4.0,1.0,150.0,À Vendre,165000.0,3,41
Appartements,3.0,1.0,110.0,À Vendre,140000.0,3,69
Appartements,2.0,1.0,80.0,À Vendre,95000.0,3,49
Appartements,3.0,2.0,127.0,À Vendre,197300.0,3,76
Appartements,2.0,1.0,80.0,À Vendre,134500.0,3,76
Appartements,3.0,1.0,90.0,À Vendre,135000.0,3,62
Appartements,3.0,2.0,140.0,À Vendre,215000.0,3,49
Appartements,2.0,1.0,72.0,À Vendre,150000.0,3,58
Appartements,3.0,1.0,136.0,À Vendre,170000.0,3,62
Appartements,2.0,1.0,98.0,À Vendre,125000.0,3,62
Appartements,3.0,1.0,115.0,À Vendre,137000.0,3,62
Appartements,1.0,1.0,73.0,À Vendre,129000.0,3,62
Appartements,2.0,1.0,105.0,À Vendre,190000.0,3,58
Appartements,3.0,2.0,150.0,À Vendre,359000.0,3,21
Appartements,3.0,1.0,122.0,À Vendre,228000.0,3,21
Appartements,3.0,1.0,136.0,À Vendre,195000.0,3,74
Appartements,3.0,2.0,157.0,À Vendre,265000.0,3,62
Appartements,3.0,2.0,147.0,À Vendre,420000.0,3,21
Appartements,3.0,1.0,178.0,À Vendre,249000.0,3,62
Appartements,3.0,1.0,85.0,À Vendre,105000.0,3,41
Appartements,3.0,1.0,100.0,À Vendre,170000.0,3,58
Appartements,2.0,1.0,90.0,À Vendre,195000.0,3,49
