,Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
135,tunis,marsa,La Marsa,Sale,3-room apartment,154.0,361000.0,02/11/2023
136,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,120.0,450000.0,23/05/2023
137,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,146.0,447000.0,16/06/2023
138,tunis,marsa,La Marsa,Sale,3-room apartment,90.0,180000.0,11/11/2023
139,ben arous,mourouj,El Mourouj,Sale,2-room apartment,100.0,190000.0,09/09/2023
140,tunis,hrairia,El Hrairia,Sale,1-room apartment,255.0,220000.0,07/11/2023
141,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,145.0,450000.0,21/11/2023
142,tunis,bardo,Le Bardo,Sale,2-room apartment,70.0,68000.0,25/10/2023
143,tunis,menzah,El Menzah,Sale,1-room apartment,60.0,165000.0,06/11/2023
144,ariana,soukra,La Soukra,Sale,4-room apartment,100.0,170000.0,02/12/2023
145,ben arous,ezzahra,Ezzahra,Sale,3-room apartment,45.0,240000.0,18/10/2023
146,ariana,soukra,La Soukra,Sale,3-room apartment,123.0,406000.0,20/09/2023
147,tunis,menzah,El Menzah,Sale,1-room apartment,60.0,165000.0,07/11/2023
148,ariana,soukra,La Soukra,Sale,2-room apartment,90.0,1400000.0,01/08/2023
149,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,90.0,250000.0,03/11/2023
150,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,145.0,374000.0,04/11/2023
151,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,180.0,395000.0,05/11/2023
152,tunis,ettahrir,Ettahrir,Sale,2-room apartment,90.0,150000.0,18/11/2023
153,ariana,soukra,La Soukra,Sale,3-room apartment,168.0,481000.0,13/10/2023
154,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,112.0,270000.0,11/08/2023
155,tunis,menzah,El Menzah,Sale,3-room apartment,107.0,285000.0,12/10/2023
156,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,120.0,270000.0,05/10/2023
157,tunis,menzah,El Menzah,Sale,4-room apartment,100.0,220000.0,02/06/2023
158,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,168.0,240000.0,09/10/2023
159,ben arous,mourouj,El Mourouj,Sale,3-room apartment,95.0,115000.0,10/10/2023
160,tunis,marsa,La Marsa,Sale,4-room apartment,135.0,360000.0,06/06/2023
161,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,80.0,75000.0,05/08/2023
163,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,158.0,355000.0,05/06/2023
164,tunis,marsa,La Marsa,Sale,2-room apartment,100.0,250000.0,20/11/2023
165,tunis,marsa,La Marsa,Sale,3-room apartment,117.0,380000.0,28/08/2023
166,ariana,soukra,La Soukra,Sale,3-room apartment,176.0,575000.0,29/11/2023
167,ariana,soukra,La Soukra,Sale,4-room apartment,150.0,437000.0,22/05/2023
168,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,24.0,260000.0,31/10/2023
169,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,87.0,150000.0,17/11/2023
170,tunis,la goulette,La Goulette,Sale,3-room apartment,144.0,550000.0,28/11/2023
171,ariana,mnihla,Mnihla,Sale,4-room apartment,127.0,150000.0,20/10/2023
172,tunis,la goulette,La Goulette,Sale,3-room apartment,78.0,210000.0,08/05/2023
173,ariana,mnihla,Mnihla,Sale,1-room apartment,430.0,600000.0,03/12/2023
174,ben arous,ben arous,Ben Arous,Sale,3-room apartment,95.0,120000.0,19/10/2023
175,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,80.0,112000.0,28/09/2023
176,ariana,soukra,La Soukra,Sale,3-room apartment,123.0,450000.0,20/09/2023
177,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,80.0,148000.0,04/11/2023
178,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,64.0,180000.0,30/06/2023
179,tunis,marsa,La Marsa,Sale,2-room apartment,122.0,510000.0,30/11/2023
180,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,120.0,347000.0,05/12/2023
181,ben arous,mourouj,El Mourouj,Sale,4-room apartment,90.0,155000.0,18/06/2023
182,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,200.0,770000.0,07/10/2023
183,tunis,omrane,El Omrane,Sale,4-room apartment,154.0,320000.0,29/09/2022
184,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,160.0,370000.0,09/10/2023
185,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,146.0,370000.0,29/11/2023
186,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,4-room apartment,108.0,190000.0,22/11/2023
187,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,58.0,185000.0,04/11/2023
188,ariana,raoued,Raoued,Sale,2-room apartment,115.0,313000.0,21/09/2022
189,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,118.0,291000.0,21/09/2023
190,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,5-room apartment and more,478.0,760000.0,04/12/2023
191,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,95.0,195000.0,05/12/2023
192,ariana,soukra,La Soukra,Sale,3-room apartment,120.0,275000.0,15/03/2023
193,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,105.0,280000.0,15/10/2023
194,ben arous,hammam chott,Hammam Chatt,Sale,2-room apartment,105.0,120000.0,15/11/2023
195,ben arous,ezzahra,Ezzahra,Sale,3-room apartment,100.0,210000.0,06/10/2023
196,tunis,marsa,La Marsa,Sale,5-room apartment and more,192.0,360000.0,20/10/2022
197,tunis,sidi el bechir,Sidi El Bechir,Sale,4-room apartment,130.0,220000.0,17/11/2023
198,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,130.0,250000.0,08/11/2023
199,ben arous,medina jedida,Nouvelle Medina,Sale,2-room apartment,110.0,215000.0,18/10/2023
200,ben arous,hammam lif,Hammam Lif,Sale,4-room apartment,124.0,175000.0,17/04/2023
201,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,80.0,120000.0,12/10/2023
202,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,91.0,270000.0,19/06/2023
203,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,190.0,930000.0,17/10/2023
204,tunis,marsa,La Marsa,Sale,4-room apartment,179.0,395000.0,04/12/2023
205,ariana,raoued,Raoued,Sale,2-room apartment,110.0,220000.0,09/11/2023
206,ariana,raoued,Raoued,Sale,2-room apartment,89.0,195000.0,05/09/2022
207,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,80.0,125000.0,11/09/2023
208,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,156.0,450000.0,13/01/2022
209,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,139.0,360000.0,30/11/2023
210,ariana,soukra,La Soukra,Sale,3-room apartment,142.0,576000.0,25/09/2023
211,tunis,la goulette,La Goulette,Sale,4-room apartment,150.0,305000.0,30/03/2022
212,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,150.0,280000.0,22/11/2023
213,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,35.0,140000.0,17/10/2023
214,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,50.0,160000.0,25/09/2023
215,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,121.0,190000.0,27/11/2023
216,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,130.0,520000.0,19/09/2023
217,tunis,menzah,El Menzah,Sale,2-room apartment,117.0,289000.0,22/10/2023
218,tunis,bardo,Le Bardo,Sale,3-room apartment,76.0,115000.0,09/10/2023
219,tunis,carthage,Carthage,Sale,3-room apartment,240.0,900000.0,11/11/2023
220,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,135.0,305000.0,05/12/2023
221,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,150.0,820000.0,26/10/2023
222,tunis,la goulette,La Goulette,Sale,3-room apartment,100.0,300000.0,30/08/2023
223,ariana,soukra,La Soukra,Sale,3-room apartment,100.0,320000.0,16/09/2023
224,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,148.0,320000.0,29/11/2023
225,ariana,soukra,La Soukra,Sale,3-room apartment,150.0,357000.0,14/11/2022
226,ariana,soukra,La Soukra,Sale,4-room apartment,100.0,215000.0,14/11/2023
227,tunis,menzah,El Menzah,Sale,5-room apartment and more,190.0,300000.0,03/11/2023
228,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,18/11/2023
229,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,120.0,360000.0,23/11/2023
230,ariana,soukra,La Soukra,Sale,4-room apartment,109.0,200000.0,07/11/2023
231,ben arous,mourouj,El Mourouj,Sale,3-room apartment,115.0,195000.0,23/11/2023
232,ariana,soukra,La Soukra,Sale,4-room apartment,157.0,525000.0,22/11/2023
233,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,160.0,500000.0,26/10/2023
234,tunis,sidi hassine,Sidi Hassine,Sale,3-room apartment,130.0,280000.0,17/09/2023
235,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,55.0,195000.0,15/11/2023
236,ben arous,ben arous,Ben Arous,Sale,3-room apartment,60.0,90000.0,02/11/2023
237,ariana,soukra,La Soukra,Sale,4-room apartment,89.0,175000.0,02/11/2023
238,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,200.0,530000.0,20/10/2023
239,ben arous,hammam chott,Hammam Chatt,Sale,4-room apartment,135.0,250000.0,10/08/2022
240,ben arous,mourouj,El Mourouj,Sale,5-room apartment and more,150.0,340000.0,18/09/2023
242,tunis,marsa,La Marsa,Sale,3-room apartment,212.0,790000.0,25/01/2023
243,ariana,soukra,La Soukra,Sale,3-room apartment,235.0,820000.0,29/11/2023
244,ben arous,mourouj,El Mourouj,Sale,3-room apartment,128.0,195000.0,03/10/2023
245,tunis,omrane superieur,El Omrane Superieur,Sale,2-room apartment,270.0,170000.0,25/10/2023
246,ariana,soukra,La Soukra,Sale,2-room apartment,120.0,350000.0,20/09/2023
247,tunis,marsa,La Marsa,Sale,2-room apartment,118.0,291000.0,04/10/2023
248,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,35.0,115000.0,04/12/2023
249,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,59.0,250000.0,13/11/2023
250,tunis,sidi el bechir,Sidi El Bechir,Sale,3-room apartment,137.0,320000.0,21/11/2023
251,tunis,bardo,Le Bardo,Sale,3-room apartment,83.0,180000.0,27/10/2023
252,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,100.0,200000.0,09/01/2023
253,tunis,ouerdia,El Ouerdia,Sale,4-room apartment,154.0,278000.0,08/09/2023
254,ben arous,mourouj,El Mourouj,Sale,3-room apartment,80.0,137000.0,18/11/2023
255,ariana,raoued,Raoued,Sale,4-room apartment,136.0,200000.0,12/07/2023
256,ben arous,hammam chott,Hammam Chatt,Sale,5-room apartment and more,120.0,320000.0,13/11/2023
257,tunis,marsa,La Marsa,Sale,3-room apartment,110.0,280000.0,02/11/2023
258,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,85.0,88000.0,14/09/2023
259,ariana,soukra,La Soukra,Sale,2-room apartment,57.0,235000.0,20/11/2023
260,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,150.0,490000.0,17/01/2023
261,manouba,mornaguia,Mornaguia,Sale,3-room apartment,72.0,105000.0,09/09/2023
262,tunis,bardo,Le Bardo,Sale,4-room apartment,430.0,900000.0,02/11/2023
263,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,148.0,280000.0,11/11/2023
264,tunis,carthage,Carthage,Sale,3-room apartment,105.0,450000.0,23/10/2023
265,tunis,marsa,La Marsa,Sale,2-room apartment,118.0,291000.0,07/11/2023
266,tunis,cite el khadra,Cite El Khadra,Sale,2-room apartment,70.0,140000.0,05/05/2023
267,tunis,bab souika,Bab Souika,Sale,4-room apartment,200.0,310000.0,30/05/2023
268,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,132.0,422000.0,27/10/2023
269,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,98.0,175000.0,06/12/2023
270,tunis,marsa,La Marsa,Sale,4-room apartment,190.0,480000.0,13/07/2023
272,ariana,soukra,La Soukra,Sale,4-room apartment,135.0,280000.0,05/12/2023
273,ariana,mnihla,Mnihla,Sale,5-room apartment and more,450.0,1800000.0,24/08/2023
274,ariana,soukra,La Soukra,Sale,4-room apartment,132.0,310000.0,19/05/2023
275,ariana,raoued,Raoued,Sale,4-room apartment,110.0,230000.0,19/08/2023
276,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,128.0,370000.0,22/05/2022
277,tunis,sidi hassine,Sidi Hassine,Sale,3-room apartment,100.0,142000.0,08/09/2023
278,ben arous,mourouj,El Mourouj,Sale,3-room apartment,72.0,140000.0,24/11/2023
279,ariana,mnihla,Mnihla,Sale,3-room apartment,115.0,295000.0,27/11/2023
280,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,160.0,620000.0,16/11/2023
281,tunis,marsa,La Marsa,Sale,4-room apartment,129.0,590000.0,23/09/2023
282,ariana,soukra,La Soukra,Sale,3-room apartment,164.0,300000.0,12/10/2023
